candidate_id,event_time,clip_file,error_class,visual_cause,trajectory_status,audio_status,duplicate_group,notes
31,2205.22,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_031_0002205.22s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
33,2534.6,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_033_0002534.60s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
34,2587.64,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_034_0002587.64s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
35,2638.22,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_035_0002638.22s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
37,2876.52,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_037_0002876.52s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
38,2882.23,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_038_0002882.23s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
39,2960.69,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_039_0002960.69s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
40,2962.89,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_040_0002962.89s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
43,3236.3,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_043_0003236.30s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
45,3320.83,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_045_0003320.83s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
47,3421.03,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_047_0003421.03s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
48,3437.65,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_048_0003437.65s.mp4,false_negative,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
49,3549.03,/Users/macmima1234/basketball-highlight-editor/data/artifacts/review_1hour_all_v1/clips/candidate_049_0003549.03s.mp4,false_positive,,pending,pending,,请人工填写：擦筐/传球/反弹/遮挡/轨迹断裂/重复/其他
